Team,GoalsScored,Season
Man City,83,2020-2021
Man United,73,2020-2021
Leicester,68,2020-2021
Liverpool,68,2020-2021
Tottenham,68,2020-2021
West Ham,62,2020-2021
Leeds,62,2020-2021
Chelsea,58,2020-2021
Aston Villa,55,2020-2021
Arsenal,55,2020-2021
Man City,99,2021-2022
Liverpool,94,2021-2022
Chelsea,76,2021-2022
Tottenham,69,2021-2022
Leicester,62,2021-2022
Arsenal,61,2021-2022
West Ham,60,2021-2022
Man United,57,2021-2022
Aston Villa,52,2021-2022
Crystal Palace,50,2021-2022
Man City,94,2022-2023
Arsenal,88,2022-2023
Liverpool,75,2022-2023
Brighton,72,2022-2023
Tottenham,70,2022-2023
Newcastle,68,2022-2023
Brentford,58,2022-2023
Man United,58,2022-2023
Fulham,55,2022-2023
Aston Villa,51,2022-2023
Man City,96,2023-2024
Arsenal,91,2023-2024
Liverpool,86,2023-2024
Newcastle,85,2023-2024
Chelsea,77,2023-2024
Aston Villa,76,2023-2024
Tottenham,74,2023-2024
West Ham,60,2023-2024
Crystal Palace,57,2023-2024
Man United,57,2023-2024
Liverpool,86,2024-2025
Man City,72,2024-2025
Arsenal,69,2024-2025
Newcastle,68,2024-2025
Brentford,66,2024-2025
Brighton,66,2024-2025
Chelsea,64,2024-2025
Tottenham,64,2024-2025
Bournemouth,58,2024-2025
Aston Villa,58,2024-2025
